url,redirect_url
https://aep-orchestration-lab.web.app/profile-viewer/ksia-demo.html,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/index.html
https://aep-orchestration-lab.web.app/profile-viewer/ksia-mobile-demo.html,https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/mobile/index.html
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/index.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/about.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/contact.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/media.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/flights/index.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/flights/arrivals.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/flights/departures.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/at-the-airport/index.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/at-the-airport/terminal-guide.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/at-the-airport/terminal-1.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/at-the-airport/terminal-2.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/at-the-airport/terminal-3.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/at-the-airport/terminal-4.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/at-the-airport/terminal-5.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/at-the-airport/terminal-6.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/at-the-airport/maps.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/at-the-airport/security.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/at-the-airport/services/index.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/at-the-airport/services/lounges.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/at-the-airport/services/special-assistance.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/transport/index.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/transport/parking.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/transport/drop-off.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/transport/public-transport.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/shop-dine/index.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/shop-dine/duty-free.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/shop-dine/restaurants.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/products/index.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/products/product.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/aivc/index.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/aivc/wallet-setup.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/aivc/disruption-compensation.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/mobile/index.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/mobile/trip.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/mobile/wallet.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/mobile/concierge.html,
https://aep-orchestration-lab.web.app/profile-viewer/demos/ksia/mobile/notifications.html,
